shop_name,name,productId
4men-vn,"Áo Polo Nam Slimfit Masculine Phối Bo 4MEN PO094 thêu chữ nổi, vải tổ ong nhỏ thoáng khí, dễ chịu, trẻ trυng",PO094
4men-vn,"Áo sơ mi nam kẻ sọc 4MEN SM067 dài tay, cổ Đức, vải Oxford và Cotton mềm, nhẹ, bền, thoáng mát, phong cách trẻ trung, thanh lịch",SM067
4men-vn,"Áo Sơ Mi Nam Regular Gentleman 4MEN ASM098 dài tay cổ bẻ, vải linen thoáng mát, chịu nhiệt tốt",ASM098
4men-vn,"Áo Sơ Mi Nam Loose Caro Phối Da 4MEN ASM099 dài tay form đứng đẹp, trẻ trυng, vải sợi tổng hợp mềm mại, thoáng mát",ASM099
4men-vn,"Áo Sơ Mi Nam Linen Cổ Trụ Form Regular 4MEN SM132 suông, đứng form, vải mềm mại, thấm mồ hôi, thoáng mát, thanh lịch",SM132
4men-vn,"Áo Thun Nam In Regular Never Give Up 4MEN AT124 cổ tròn, Tshirt ngắn tay, thấm mồ hôi, thoáng mát, mềm mại, trẻ trυng",AT124
4men-vn,"Áo Sơ Mi Nam Regular Pocket Detail 4MEN ASM118 cổ bẻ, dài tay, vải đũi xước mềm mại, thoáng mát, công sở, thanh lịch",ASM118
4men-vn,"Áo Sơ Mi Nam Form Loose Escape 4MEN SM095 dài tay vai chéo thoáng mát, len dáng đẹp, trẻ trung, thanh lịch",SM095
4men-vn,"Áo khoác dù nam rã ngang 4MEN AK027 vải dù cao cấp, may 2 lớp dày dặn, chống nắng cản gió, 1 màu trơn đơn giản",AK027
4men-vn,"Áo Sơ Mi Nam Trơn Slimfit 4MEN SM079 cổ bẻ tay dài thanh lịch, vải Modal mềm mại, chống nhăn, thấm mồ hôi",SM079
4men-vn,"Áo Thun Nam In Slimfit Meowww 4MEN AT125 cổ tròn, Tshirt ngắn tay, thấm mồ hôi, thoáng mát, mềm mại, trẻ trυng",AT125
4men-vn,"Áo Thun Nam 4MEN AT077 in hình và chữ năng động, form suông thoải mái, màu sắc basic, vải thoáng mát, mềm mịn, thấm mồ hôi, co giãn",AT077
4men-vn,"Áo Khoác Nam Regular Chạy Viền 4MEN AK044 form vừa vặn, khóa zipper tiện lợi, cổ đứng, vải dù xốp thoáng mát, mềm mại",AK044
4men-vn,"Áo Thun Nam 4MEN AT085 form suông, in logo 4MEN cách điệu tinh tế, vải cotton thấm mồ hôi, thoáng mát, vải mềm mịn",AT085
4men-vn,"Áo Sơ Mi Nam Regular Túi Nắp 4MEN ASM116 dài tay có túi, cổ bẻ truyền thống, vải nhung tăm mềm mại, giữ nhiệt tốt",ASM116
4men-vn,"Áo Sơ Mi Nam Dài Tay Form Regular Be A Dreamer 4MEN ASM096 chất vải oxford mát mịn chống nhăn, thanh lịch",ASM096
4men-vn,"Quần Short Kaki Nam Thêu Triple X Form Regular 4MEN QS047 tối giản, vải mềm co giãn thoải mái, thấm mồ hôi, trẻ trυng",QS047
4men-vn,"Áo Sơ Mi Nam Dài Tay Regular Icon Dog 4MEN SM106 thêu nổi ấn tượng, vải sợi tổng hợp thấm mồ hôi, mềm mại",SM106
4men-vn,"Áo Thun Nam Regular Best Dad Ever 4MEN AT097 cổ tròn tay ngắn, vải cotton co giãn 2 chiều, thấm mồ hôi, thoáng mát, trẻ trung",AT097
4men-vn,"Áo Sơ Mi Nam Slimfit Phối Hai Sọc 4MEN SM127 form tôn dáng, vải Poly, Model mềm mịn, đẹp, cổ bẻ, tay dài, trẻ trυng",SM127
4men-vn,"Áo Thun nam 4MEN Puzzle AT066 cổ tròn tay ngắn, form regular vải cotton thoáng mát, trẻ trung dễ phối đồ nhiều màu",AT066
4men-vn,"Áo Thun Nam Phối Tay RAGLAN Thêu 4M 4MEN AT059 form suông thoải mái vải cotton thoáng mát, thấm mồ hôi, co giãn",AT059
4men-vn,"Áo Thun Nam 4MEN AT086 in chữ ESCAPE, áo phông cổ tròn ngắn tay, form suông, vải cotton thấm mồ hôi, thoáng mát, co gãn",AT086
4men-vn,"Áo Thun Nam In Surfing Form Regular 4MEN AT129 cổ tròn, phối đường may nổi bắt mắt, vải mềm mại, thấm mồ hôi, co giãn",AT129
4men-vn,"Áo Sơ Mi Nam Linen Regular Giấu Nút 4MEN ASM108 tay dài, cổ bẻ, vải linen thoáng mát, thấm mồ hôi tốt",ASM108
4men-vn,"Áo Thun Nam 4MEN AT070 cổ tròn, tay ngắn, form Regular in chữ Back To Basics trẻ trυng, năng động, thoáng mát có độ co g",AT070
